Time,HeadPosx,HeadPosy,HeadPosz,rewardx,rewardz
14:49:21:523,,,,-2.8,-1.2
14:49:21:523,,,,3,0.5
14:49:21:524,,,,-1.6,1.8
14:49:21:524,,,,1.5,-2.5
14:49:21:524,,,,1.75,2.8
14:49:21:524,,,,0.5,-0.5
14:49:21:524,,,,,
14:49:21:524,,,,-2,-6
14:49:21:524,,,,-1,-6
14:49:21:525,,,,0,-6
14:49:21:525,,,,,
14:49:21:525,,,,,
14:49:21:525,,,,,
14:49:21:525,-4.385215,1.595062,-0.9690273,,
14:49:21:551,-4.362432,1.594671,-0.9684985,,
14:49:21:585,-4.33913,1.593855,-0.9672737,,
14:49:21:618,-4.316229,1.592422,-0.9653609,,
14:49:21:651,-4.292886,1.590287,-0.9624012,,
14:49:21:684,-4.269715,1.587807,-0.95837,,
14:49:21:718,-4.245852,1.585184,-0.953043,,
14:49:21:751,-4.222599,1.583117,-0.946866,,
14:49:21:785,-4.199732,1.581434,-0.9398859,,
14:49:21:818,-4.177408,1.580681,-0.9324272,,
14:49:21:852,-4.155032,1.582139,-0.9245365,,
14:49:21:885,-4.132595,1.585685,-0.9164715,,
14:49:21:919,-4.111192,1.589029,-0.9089997,,
14:49:21:952,-4.089673,1.591873,-0.9016194,,
14:49:21:985,-4.068257,1.595145,-0.8949881,,
14:49:22:019,-4.046648,1.598615,-0.8892939,,
14:49:22:052,-4.025661,1.60122,-0.8847868,,
14:49:22:085,-4.005462,1.602351,-0.8812389,,
14:49:22:119,-3.98505,1.602382,-0.8780065,,
14:49:22:152,-3.965438,1.601687,-0.875191,,
14:49:22:185,-3.945301,1.600972,-0.8725386,,
14:49:22:219,-3.924587,1.600149,-0.8698843,,
14:49:22:252,-3.903563,1.598949,-0.8674324,,
14:49:22:285,-3.882731,1.59714,-0.8653908,,
14:49:22:319,-3.861757,1.594353,-0.8636498,,
14:49:22:352,-3.841231,1.591399,-0.8625662,,
14:49:22:385,-3.820483,1.588239,-0.861907,,
14:49:22:419,-3.800014,1.58488,-0.8616962,,
14:49:22:452,-3.779602,1.582185,-0.8618147,,
14:49:22:486,-3.758846,1.581545,-0.8615606,,
14:49:22:519,-3.738281,1.583386,-0.8604548,,
14:49:22:554,-3.718071,1.58564,-0.8580651,,
14:49:22:586,-3.698839,1.587591,-0.8539393,,
14:49:22:619,-3.679736,1.589639,-0.8480816,,
14:49:22:653,-3.661532,1.591781,-0.8410766,,
14:49:22:687,-3.644134,1.593653,-0.8328738,,
14:49:22:720,-3.628275,1.594516,-0.8241267,,
14:49:22:754,-3.61357,1.594625,-0.8151698,,
14:49:22:786,-3.599014,1.594189,-0.8057358,,
14:49:22:820,-3.584718,1.593599,-0.7958484,,
14:49:22:854,-3.570789,1.592679,-0.7856071,,
14:49:22:886,-3.557929,1.591642,-0.7750375,,
14:49:22:920,-3.545221,1.590262,-0.7636905,,
14:49:22:954,-3.533611,1.588495,-0.7518172,,
14:49:22:987,-3.522616,1.586542,-0.7391846,,
14:49:23:020,-3.512842,1.585777,-0.7263579,,
14:49:23:054,-3.503978,1.585963,-0.7133024,,
14:49:23:087,-3.495599,1.586001,-0.7003782,,
14:49:23:121,-3.487946,1.586072,-0.6883121,,
14:49:23:154,-3.480886,1.586289,-0.6773245,,
14:49:23:187,-3.473075,1.58692,-0.6667528,,
14:49:23:220,-3.465079,1.588231,-0.6569605,,
14:49:23:254,-3.457003,1.589719,-0.6480935,,
14:49:23:288,-3.448609,1.591394,-0.6400337,,
14:49:23:321,-3.440454,1.592822,-0.6326535,,
14:49:23:355,-3.431886,1.593937,-0.6254909,,
14:49:23:388,-3.423401,1.593925,-0.6193366,,
14:49:23:422,-3.414576,1.592862,-0.61397,,
14:49:23:455,-3.405849,1.591225,-0.6098492,,
14:49:23:488,-3.396786,1.589323,-0.6070781,,
14:49:23:522,-3.387569,1.58777,-0.6058495,,
14:49:23:555,-3.377813,1.58699,-0.6059721,,
14:49:23:588,-3.367327,1.586278,-0.6071424,,
14:49:23:622,-3.356031,1.586077,-0.6096499,,
14:49:23:656,-3.343614,1.586431,-0.6124818,,
14:49:23:689,-3.330498,1.586671,-0.6153369,,
14:49:23:722,-3.317418,1.587252,-0.618722,,
14:49:23:755,-3.303837,1.588198,-0.6228466,,
14:49:23:789,-3.290227,1.589331,-0.6277792,,
14:49:23:822,-3.276598,1.590033,-0.6336441,,
14:49:24:110,-3.147929,1.595904,-0.7100883,,
14:49:24:250,-3.077135,1.594327,-0.7401061,,
14:49:24:575,-2.959473,1.608045,-0.761404,,
14:49:24:606,-2.954181,1.610491,-0.7611046,,
14:49:24:640,-2.949155,1.611642,-0.7612035,,
14:49:24:673,-2.943942,1.611731,-0.7619777,,
14:49:24:706,-2.939134,1.610991,-0.7624376,,
14:49:24:740,-2.934096,1.60952,-0.7632475,,
14:49:24:773,-2.930594,1.607822,-0.7631035,,
14:49:24:807,-2.927602,1.606083,-0.7630451,,
14:49:24:841,-2.925904,1.604534,-0.7627909,,
14:49:24:873,-2.925226,1.603922,-0.7621036,,
14:49:24:907,-2.925408,1.603451,-0.7606094,,
14:49:24:940,-2.926191,1.603802,-0.7596157,,
14:49:24:974,-2.928829,1.604276,-0.7585018,,
14:49:25:007,-2.932476,1.604248,-0.7574968,,
14:49:25:040,-2.937074,1.603464,-0.7558649,,
14:49:25:074,-2.94236,1.602129,-0.7541258,,
14:49:25:107,-2.948592,1.600816,-0.7520347,,
14:49:25:140,-2.955004,1.59983,-0.7505801,,
14:49:25:174,-2.962265,1.599235,-0.7494144,,
14:49:25:207,-2.97023,1.598657,-0.7488427,,
14:49:25:240,-2.978434,1.597887,-0.7487178,,
14:49:25:274,-2.987196,1.596735,-0.7491136,,
14:49:25:308,-2.996197,1.595525,-0.7502348,,
14:49:25:341,-3.005569,1.5947,-0.7523367,,
14:49:25:375,-3.015343,1.594241,-0.7556241,,
14:49:25:408,-3.024871,1.593759,-0.75998,,
14:49:25:441,-3.03523,1.593149,-0.7654786,,
14:49:25:475,-3.046011,1.592219,-0.7719426,,
14:49:25:508,-3.057508,1.590853,-0.7797225,,
14:49:25:541,-3.069386,1.589068,-0.7886825,,
14:49:25:575,-3.081622,1.587115,-0.7991879,,
14:49:25:608,-3.093957,1.585273,-0.811239,,
14:49:25:642,-3.106458,1.583493,-0.8248043,,
14:49:25:675,-3.118858,1.581759,-0.8396647,,
14:49:25:708,-3.131345,1.579842,-0.8553762,,
14:49:25:742,-3.14333,1.577688,-0.8709695,,
14:49:25:776,-3.156208,1.577487,-0.8875918,,
14:49:25:809,-3.16934,1.579394,-0.9035366,,
14:49:25:842,-3.182771,1.582242,-0.9186504,,
14:49:25:875,-3.196185,1.584891,-0.9333241,,
14:49:25:909,-3.209865,1.587806,-0.9483426,,
14:49:25:942,-3.223987,1.59049,-0.9633536,,
14:49:25:976,-3.238077,1.592558,-0.9782388,,
14:49:26:009,-3.252285,1.59385,-0.9928529,,
14:49:26:042,-3.265924,1.594303,-1.0078,,
14:49:26:076,-3.280028,1.593944,-1.023225,,
14:49:26:109,-3.294928,1.593269,-1.039139,,
14:49:26:143,-3.311091,1.592132,-1.055596,,
14:49:26:176,-3.327873,1.590379,-1.071776,,
14:49:26:210,-3.345783,1.587663,-1.087983,,
14:49:26:243,-3.364296,1.584288,-1.103846,,
14:49:26:276,-3.383196,1.580399,-1.11935,,
14:49:26:310,-3.403289,1.576182,-1.135169,,
14:49:26:343,-3.42403,1.573096,-1.150579,,
14:49:26:377,-3.445845,1.570715,-1.165346,,
14:49:26:410,-3.467869,1.569012,-1.178826,,
14:49:26:443,-3.490416,1.568764,-1.191439,,
14:49:26:476,-3.512873,1.570474,-1.203143,,
14:49:26:510,-3.536221,1.572982,-1.215158,,
14:49:26:544,-3.560173,1.576309,-1.228381,,
14:49:26:577,-3.583183,1.580182,-1.242713,,
14:49:26:610,-3.605538,1.584048,-1.258525,,
14:49:26:643,-3.627402,1.587652,-1.276057,,
14:49:26:677,-3.647874,1.589929,-1.294404,,
14:49:26:711,-3.668215,1.591066,-1.314208,,
14:49:26:744,-3.687959,1.590671,-1.334142,,
14:49:26:777,-3.707453,1.588994,-1.354312,,
14:49:26:810,-3.726623,1.586411,-1.374881,,
14:49:26:844,-3.745862,1.583008,-1.395772,,
14:49:26:877,-3.76467,1.578885,-1.41672,,
14:49:26:911,-3.783102,1.574379,-1.437665,,
14:49:26:943,-3.801277,1.572049,-1.458131,,
14:49:26:978,-3.820618,1.572243,-1.478865,,
14:49:27:011,-3.839488,1.574095,-1.497659,,
14:49:27:045,-3.859991,1.576535,-1.516441,,
14:49:27:078,-3.880229,1.57986,-1.532721,,
14:49:27:112,-3.901704,1.58373,-1.547316,,
14:49:27:132,-3.914402,1.585807,-1.555012,,
14:49:27:162,-3.933249,1.5881,-1.565199,,
14:49:27:195,-3.954732,1.589725,-1.575502,,
14:49:27:228,-3.976334,1.590302,-1.584583,,
14:49:27:262,-3.998696,1.590437,-1.593082,,
14:49:27:296,-4.021318,1.589601,-1.60067,,
14:49:27:329,-4.044795,1.58789,-1.607713,,
14:49:27:362,-4.068159,1.585279,-1.613971,,
14:49:27:395,-4.092444,1.581865,-1.61955,,
14:49:27:429,-4.11754,1.578476,-1.624515,,
14:49:27:463,-4.144069,1.575596,-1.628899,,
14:49:27:496,-4.170622,1.573306,-1.632562,,
14:49:27:530,-4.197359,1.573057,-1.635329,,
14:49:27:563,-4.223471,1.573324,-1.637811,,
14:49:27:596,-4.249788,1.57382,-1.640401,,
14:49:27:630,-4.277098,1.575144,-1.643297,,
14:49:27:663,-4.304675,1.577001,-1.646549,,
14:49:27:696,-4.331511,1.578686,-1.65064,,
14:49:27:729,-4.357244,1.579773,-1.6551,,
14:49:27:763,-4.382915,1.580228,-1.660035,,
14:49:27:796,-4.408563,1.580037,-1.664912,,
14:49:27:830,-4.434749,1.579535,-1.669961,,
14:49:27:863,-4.461133,1.578578,-1.675005,,
14:49:27:896,-4.486758,1.576522,-1.679903,,
14:49:27:930,-4.512854,1.57337,-1.684956,,
14:49:27:964,-4.538594,1.569644,-1.690172,,
14:49:27:997,-4.564355,1.56571,-1.695637,,
14:49:28:031,-4.589278,1.561865,-1.701083,,
14:49:28:064,-4.614058,1.559122,-1.706662,,
14:49:28:097,-4.638567,1.560373,-1.712021,,
14:49:28:131,-4.663783,1.563159,-1.716871,,
14:49:28:164,-4.688105,1.566165,-1.720779,,
14:49:28:197,-4.712994,1.569225,-1.723617,,
14:49:28:231,-4.737593,1.572343,-1.725254,,
14:49:28:264,-4.761353,1.574924,-1.725459,,
14:49:28:297,-4.783622,1.576295,-1.724634,,
14:49:28:330,-4.805501,1.57674,-1.723069,,
14:49:28:364,-4.827493,1.576422,-1.72066,,
14:49:28:397,-4.84818,1.575528,-1.717689,,
14:49:28:431,-4.869006,1.573906,-1.713829,,
14:49:28:465,-4.889396,1.571437,-1.709176,,
14:49:28:498,-4.908665,1.568308,-1.703712,,
14:49:28:531,-4.92759,1.564504,-1.697122,,
14:49:28:565,-4.945669,1.560594,-1.68967,,
14:49:28:598,-4.963515,1.556517,-1.68135,,
14:49:28:632,-4.980942,1.552284,-1.672422,,
14:49:28:665,-4.998268,1.549098,-1.663021,,
14:49:28:698,-5.015609,1.547285,-1.653374,,
14:49:28:732,-5.03272,1.546942,-1.643562,,
14:49:28:764,-5.048565,1.547264,-1.634366,,
14:49:28:799,-5.065243,1.547909,-1.624795,,
14:49:28:832,-5.081068,1.548747,-1.616395,,
14:49:28:865,-5.097391,1.549554,-1.608483,,
14:49:28:898,-5.112947,1.550066,-1.601499,,
14:49:28:932,-5.128119,1.550257,-1.595034,,
14:49:28:965,-5.142489,1.549927,-1.589372,,
14:49:28:999,-5.156476,1.549632,-1.584255,,
14:49:29:032,-5.170783,1.549478,-1.579855,,
14:49:29:065,-5.185138,1.549085,-1.576221,,
14:49:29:099,-5.199649,1.548629,-1.5731,,
14:49:29:132,-5.21405,1.547682,-1.570567,,
14:49:29:166,-5.228083,1.546197,-1.568794,,
14:49:29:182,,,,,
14:49:29:201,-5.241793,1.544209,-1.567679,,
14:49:29:233,-5.255171,1.541238,-1.567061,,
14:49:29:265,-5.267536,1.540024,-1.567338,,
14:49:29:299,-5.279476,1.539192,-1.567851,,
14:49:29:333,-5.291454,1.538724,-1.56849,,
14:49:29:365,-5.302935,1.538884,-1.569149,,
14:49:29:399,-5.314178,1.539458,-1.569708,,
14:49:29:433,-5.324834,1.539854,-1.569931,,
14:49:29:465,-5.334514,1.53967,-1.569829,,
14:49:29:499,-5.34378,1.539862,-1.569025,,
14:49:29:532,-5.352499,1.5407,-1.567842,,
14:49:29:566,-5.360864,1.542104,-1.566445,,
14:49:29:601,-5.368526,1.543621,-1.564948,,
14:49:29:634,-5.375937,1.544652,-1.56312,,
14:49:29:666,-5.382465,1.544835,-1.560949,,
14:49:29:699,-5.388637,1.544887,-1.558135,,
14:49:29:733,-5.394481,1.545931,-1.554996,,
14:49:29:766,-5.399739,1.548069,-1.552036,,
14:49:29:799,-5.405509,1.550618,-1.548938,,
14:49:29:833,-5.411468,1.554225,-1.546388,,
